CMS Chronic Conditions Data Warehouse (CCW) Data Dictionary
Value Modifier Practice-Level RIF / Performance Year 2016
Version - August 2018
Variable Name	Variable Label (Short Description)	Long Description	Position	Format	Length	Notes
CYDIFF_SH_IMAGING_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Imaging Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Imaging Services, Ancillary Services category	1034	Num	8	
CYDIFF_SH_DME_COSTS_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Durable Medical Equipment and Supplies	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Durable Medical Equipment and Supplies, Ancillary Services category	1035	Num	8	
CYDIFF_SH_TOTAL_HOSP_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Hospital Inpatient Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Hospital Inpatient Services	1036	Num	8	
CYDIFF_SH_IN_PATIENT_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Inpatient Hospital Facility Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Inpatient Hospital Facility Services, Hospital Inpatient Services category	1037	Num	8	
CYDIFF_SH_ALL_PHHSP_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization, Hospital Inpatient Services category	1038	Num	8	
CYDIFF_SH_PHHSP_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by practice	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by practice, Hospital Inpatient Services category	1039	Num	8	
CYDIFF_SH_PHHSP_PRM_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by PCPs in practice, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by Primary Care Physicians in practice, Eligible Professional Services During Hospitalization category	1040	Num	8	
CYDIFF_SH_PHHSP_MED_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by Medical Specialists in practice, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by Medical Specialists in practice, Eligible Professional Services During Hospitalization category	1041	Num	8	
CYDIFF_SH_PHHSP_SRG_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by Surgeons in practice, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by Surgeons in practice, Eligible Professional Services During Hospitalization category	1042	Num	8	
CYDIFF_SH_PHHSP_OTH_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by Other EPs in practice, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by Other Eligible Professionals in practice, Eligible Professional Services During Hospitalization category	1043	Num	8	
CYDIFF_SH_PHHSP_ADJ_OG	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization billed by other practices, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization billed by other practices, Eligible Professional Services During Hospitalization category	1044	Num	8	
CYDIFF_SH_PHHSP_PRM_ADJ_OG	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by PCPs in other practices, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by Primary Care Physicians in other practices, Eligible Professional Services During Hospitalization category	1045	Num	8	
CYDIFF_SH_PHHSP_MSG_ADJ_OG	Practice PCC minus benchmark PCC for benes with heart failure for EP Services During Hospitalization Billed by Medical Specialists, Surgeons, and Other EPs in other practices, EP Services During Hospitalization	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Eligible Professional Services During Hospitalization Billed by Medical Specialists, Surgeons, and Other Eligible Professionals in other practices, Eligible Professional Services During Hospitalization category	1046	Num	8	
CYDIFF_SH_TOTAL_ER_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Emergency Services Not Included in a Hospital Admission	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Emergency Services Not Included in a Hospital Admission	1047	Num	8	
CYDIFF_SH_ER_ALL_EANDM_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Emergency EM Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Emergency Evaluation  Management Services, Emergency Services Not Included in a Hospital Admission category	1048	Num	8	
CYDIFF_SH_ER_ALL_PROCS_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Emergency Procedures	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Procedures, Emergency Services Not Included in a Hospital Admission category	1049	Num	8	
CYDIFF_SH_ER_ALL_LABS_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Emergency Laboratory, Pathology, and Other Tests	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Laboratory, Pathology, and Other Tests, Emergency Services Not Included in a Hospital Admission category	1050	Num	8	
CYDIFF_SH_ER_ALL_IMAG_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Emergency Imaging Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Imaging Services, Emergency Services Not Included in a Hospital Admission category	1051	Num	8	
CYDIFF_SH_TOTAL_PA_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Post-Acute Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Post-Acute Services	1052	Num	8	
CYDIFF_SH_HOME_HEALTH_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Home Health	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Home Health, Post-Acute Services category	1053	Num	8	
CYDIFF_SH_SNF_STAY_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Skilled Nursing Facility	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Skilled Nursing Facility, Post-Acute Services category	1054	Num	8	
CYDIFF_SH_REHAB_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Inpatient Rehabilitation or Long-Term Care Hospital	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Inpatient Rehabilitation or Long-Term Care Hospital, Post-Acute Services category	1055	Num	8	
CYDIFF_SH_HOSPICE_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Hospice	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Hospice	1056	Num	8	
CYDIFF_SH_OTH_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for All Other Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for All Other Services	1057	Num	8	
CYDIFF_SH_OTH_AMB_SVCS_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Ambulance Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Ambulance Services, All Other Services category	1058	Num	8	
CYDIFF_SH_OTH_CHMO_PTB_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Chemotherapy and Other Part B-Covered Drugs	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Chemotherapy and Other Part B-Covered Drugs, All Other Services category	1059	Num	8	
CYDIFF_SH_DLYSIS_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Dialysis	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Dialysis, All Other Services category	1060	Num	8	
CYDIFF_SH_ANESTH_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for Anesthesia Services	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for Anesthesia Services, All Other Services category	1061	Num	8	
CYDIFF_SH_ALL_OTH_SVCS_ADJ	Practice PCC minus benchmark PCC for benes with heart failure for All Other Services Not Otherwise Classified	Practice per capita cost minus 2016 benchmark (national mean) per capita cost for attributed beneficiaries with heart failure for All Other Services Not Otherwise Classified, All Other Services category	1062	Num	8	
CYUNWGTMN_CM_EPS_PCT_OP	Benchmark pct MSPB episodes with Outpatient EM Services, Procedures, and Therapy (excluding emergency department)	2016 benchmark (national mean) percent of attributed MSPB episodes with Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department)	1063	Num	8	
CYUNWGTMN_CM_EPS_PCT_EM	Benchmark pct MSPB episodes with EM Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Evaluation and Management Services	1064	Num	8	
CYUNWGTMN_CM_EPS_PCT_ANEST	Benchmark pct MSPB episodes with Major Procedures and Anesthesia	2016 benchmark (national mean) percent of attributed MSPB episodes with Major Procedures and Anesthesia	1065	Num	8	
CYUNWGTMN_CM_EPS_PCT_AMBMIN	Benchmark pct MSPB episodes with Ambulatory/Minor Procedures	2016 benchmark (national mean) percent of attributed MSPB episodes with Ambulatory/Minor Procedures	1066	Num	8	
CYUNWGTMN_CM_EPS_PCT_OP_THPY	Benchmark pct MSPB episodes with Physical, Occupational, or Speech and Language Pathology Therapy	2016 benchmark (national mean) percent of attributed MSPB episodes with Physical, Occupational, or Speech and Language Pathology Therapy	1067	Num	8	
CYUNWGTMN_CM_EPS_PCT_ANC	Benchmark pct MSPB episodes with Ancillary Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Ancillary Services	1068	Num	8	
CYUNWGTMN_CM_EPS_PCT_ANC_TST	Benchmark pct MSPB episodes with Ancillary Laboratory, Pathology, and Other Tests	2016 benchmark (national mean) percent of attributed MSPB episodes with Laboratory, Pathology, and Other Tests, Ancillary Services category	1069	Num	8	
CYUNWGTMN_CM_EPS_PCT_ANC_IMG	Benchmark pct MSPB episodes with Ancillary Imaging Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Imaging Services, Ancillary Services category	1070	Num	8	
CYUNWGTMN_CM_EPS_PCT_ANC_DME	Benchmark pct MSPB episodes with Durable Medical Equipment and Supplies	2016 benchmark (national mean) percent of attributed MSPB episodes with Durable Medical Equipment and Supplies, Ancillary Services category	1071	Num	8	
CYUNWGTMN_CM_EPS_PCT_IP	Benchmark pct MSPB episodes with Acute Inpatient Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Acute Inpatient Services	1072	Num	8	
CYUNWGTMN_CM_EPS_PCT_IP_TRG	Benchmark pct MSPB episodes with Acute Inpatient Hospital: Index Admission	2016 benchmark (national mean) percent of attributed MSPB episodes with Acute Inpatient Hospital: Index Admission, Acute Inpatient Services category	1073	Num	8	
CYUNWGTMN_CM_EPS_PCT_IP_RD	Benchmark pct MSPB episodes with Acute Inpatient Hospital: Readmission	2016 benchmark (national mean) percent of attributed MSPB episodes with Acute Inpatient Hospital: Readmission, Acute Inpatient Services category	1074	Num	8	
CYUNWGTMN_CM_EPS_PCT_HSP_IGP	Benchmark pct MSPB episodes with EP Services Billed by Your practice During Index Hospitalization	2016 benchmark (national mean) percent of attributed MSPB episodes with Eligible Professional Services Billed by Your practice During Index Hospitalization, Acute Inpatient Services category	1075	Num	8	
CYUNWGTMN_CM_EPS_PCT_HSP_OGP	Benchmark pct MSPB episodes with EP Services Billed by Other practices During Index Hospitalization	2016 benchmark (national mean) percent of attributed MSPB episodes with Eligible Professional Services Billed by Other practices During Index Hospitalization, Acute Inpatient Services category	1076	Num	8	
CYUNWGTMN_CM_EPS_PCT_HSP_PB	Benchmark pct MSPB episodes with Other Physician or Supplier Part B Services Billed During Any Hospitalization	2016 benchmark (national mean) percent of attributed MSPB episodes with Other Physician or Supplier Part B Services Billed During Any Hospitalization, Acute Inpatient Services category	1077	Num	8	
CYUNWGTMN_CM_EPS_PCT_ER	Benchmark pct MSPB episodes with Emergency Services Not Included in a Hospital Admission	2016 benchmark (national mean) percent of attributed MSPB episodes with Emergency Services Not Included in a Hospital Admission	1078	Num	8	
CYUNWGTMN_CM_EPS_PCT_ER_VST	Benchmark pct MSPB episodes with Emergency EM Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Emergency Evaluation  Management Services, Emergency Services Not Included in a Hospital Admission category	1079	Num	8	
CYUNWGTMN_CM_EPS_PCT_ER_PRC	Benchmark pct MSPB episodes with Emergency Procedures	2016 benchmark (national mean) percent of attributed MSPB episodes with Procedures, Emergency Services Not Included in a Hospital Admission category	1080	Num	8	
CYUNWGTMN_CM_EPS_PCT_ER_TST	Benchmark pct MSPB episodes with Emergency Laboratory, Pathology, and Other Tests	2016 benchmark (national mean) percent of attributed MSPB episodes with Laboratory, Pathology, and Other Tests, Emergency Services Not Included in a Hospital Admission category	1081	Num	8	
CYUNWGTMN_CM_EPS_PCT_ER_IMG	Benchmark pct MSPB episodes with Emergency Imaging Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Imaging Services, Emergency Services Not Included in a Hospital Admission category	1082	Num	8	
CYUNWGTMN_CM_EPS_PCT_PAS	Benchmark pct MSPB episodes with Post-Acute Care	2016 benchmark (national mean) percent of attributed MSPB episodes with Post-Acute Care	1083	Num	8	
CYUNWGTMN_CM_EPS_PCT_HH	Benchmark pct MSPB episodes with Home Health, Post-Acute Care	2016 benchmark (national mean) percent of attributed MSPB episodes with Home Health, Post-Acute Care category	1084	Num	8	
CYUNWGTMN_CM_EPS_PCT_SN	Benchmark pct MSPB episodes with Skilled Nursing Facility	2016 benchmark (national mean) percent of attributed MSPB episodes with Skilled Nursing Facility, Post-Acute Care category	1085	Num	8	
CYUNWGTMN_CM_EPS_PCT_REHAB	Benchmark pct MSPB episodes with Inpatient Rehabilitation or Long-Term Care Hospital	2016 benchmark (national mean) percent of attributed MSPB episodes with Inpatient Rehabilitation or Long-Term Care Hospital, Post-Acute Care category	1086	Num	8	
CYUNWGTMN_CM_EPS_PCT_HSPC	Benchmark pct MSPB episodes with Hospice	2016 benchmark (national mean) percent of attributed MSPB episodes with Hospice	1087	Num	8	
CYUNWGTMN_CM_EPS_PCT_ALLOTH	Benchmark pct MSPB episodes with All Other Services	2016 benchmark (national mean) percent of attributed MSPB episodes with All Other Services	1088	Num	8	
CYUNWGTMN_CM_EPS_PCT_AMB	Benchmark pct MSPB episodes with Ambulance Services	2016 benchmark (national mean) percent of attributed MSPB episodes with Ambulance Services, All Other Services category	1089	Num	8	
CYUNWGTMN_CM_EPS_PCT_CHMO_PTB	Benchmark pct MSPB episodes with Chemotherapy and Other Part B-Covered Drugs	2016 benchmark (national mean) percent of attributed MSPB episodes with Chemotherapy and Other Part B-Covered Drugs, All Other Services category	1090	Num	8	
CYUNWGTMN_CM_EPS_PCT_DLYSIS	Benchmark pct MSPB episodes with Dialysis	2016 benchmark (national mean) percent of attributed MSPB episodes with Dialysis	1091	Num	8	
CYUNWGTMN_CM_EPS_PCT_OTH	Benchmark pct MSPB episodes with All Other Services Not Otherwise Classified	2016 benchmark (national mean) percent of attributed MSPB episodes with All Other Services Not Otherwise Classified, All Other Services category	1092	Num	8	
CYWGTMN_SM_COST_ADJ_ALL	Benchmark cost per MSPB episode with any service	2016 benchmark (national mean) cost per MSPB episode with any service	1093	Num	8	
CYWGTSD_SM_COST_ADJ_ALL	Peer group standard deviation for MSPB	Medicare Spending per Beneficiary, 2016 peer group standard deviation (case-weighted)	1094	Num	8	
CYWGTMN_SM_COST_ADJ_OP	Benchmark cost per MSPB episode with Outpatient EM Services, Procedures, and Therapy (excluding emergency department)	2016 benchmark (national mean) cost per MSPB episode with Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department)	1095	Num	8	
CYWGTMN_SM_COST_ADJ_EM	Benchmark cost per MSPB episode with EM Services	2016 benchmark (national mean) cost per MSPB episode with Evaluation and Management Services, Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department) category	1096	Num	8	
CYWGTMN_SM_COST_ADJ_ANEST	Benchmark cost per MSPB episode with Major Procedures and Anesthesia	2016 benchmark (national mean) cost per MSPB episode with Major Procedures and Anesthesia, Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department) category	1097	Num	8	
CYWGTMN_SM_COST_ADJ_AMBMIN	Benchmark cost per MSPB episode with Ambulatory/Minor Procedures	2016 benchmark (national mean) cost per MSPB episode with Ambulatory/Minor Procedures, Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department) category	1098	Num	8	
CYWGTMN_SM_COST_ADJ_OP_THPY	Benchmark cost per MSPB episode with Physical, Occupational, or Speech and Language Pathology Therapy	2016 benchmark (national mean) cost per MSPB episode with Physical, Occupational, or Speech and Language Pathology Therapy, Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department) category	1099	Num	8	
CYWGTMN_SM_COST_ADJ_ANC	Benchmark cost per MSPB episode with Ancillary Services	2016 benchmark (national mean) cost per MSPB episode with Ancillary Services	1100	Num	8	
CYWGTMN_SM_COST_ADJ_ANC_TST	Benchmark cost per MSPB episode with Ancillary Laboratory, Pathology, and Other Tests	2016 benchmark (national mean) cost per MSPB episode with Laboratory, Pathology, and Other Tests, Ancillary Services category	1101	Num	8	
CYWGTMN_SM_COST_ADJ_ANC_IMG	Benchmark cost per MSPB episode with Ancillary Imaging Services	2016 benchmark (national mean) cost per MSPB episode with Imaging Services, Ancillary Services category	1102	Num	8	
CYWGTMN_SM_COST_ADJ_ANC_DME	Benchmark cost per MSPB episode with Ancillary Durable Medical Equipment and Supplies	2016 benchmark (national mean) cost per MSPB episode with Durable Medical Equipment and Supplies, Ancillary Services category	1103	Num	8	
CYWGTMN_SM_COST_ADJ_IP	Benchmark cost per MSPB episode with Acute Inpatient Services	2016 benchmark (national mean) cost per MSPB episode with Acute Inpatient Services	1104	Num	8	
CYWGTMN_SM_COST_ADJ_IP_TRG	Benchmark cost per MSPB episode with Acute Inpatient Hospital: Index Admission	2016 benchmark (national mean) cost per MSPB episode with Acute Inpatient Hospital: Index Admission, Acute Inpatient Services category	1105	Num	8	
CYWGTMN_SM_COST_ADJ_IP_RD	Benchmark cost per MSPB episode with Acute Inpatient Hospital: Readmission	2016 benchmark (national mean) cost per MSPB episode with Acute Inpatient Hospital: Readmission, Acute Inpatient Services category	1106	Num	8	
CYWGTMN_SM_COST_ADJ_HSP_IGP	Benchmark cost per MSPB episode with EP Services Billed by Your practice During Index Hospitalization	2016 benchmark (national mean) cost per MSPB episode with Eligible Professional Services Billed by Your practice During Index Hospitalization, Acute Inpatient Services category	1107	Num	8	
CYWGTMN_SM_COST_ADJ_HSP_OGP	Benchmark cost per MSPB episode with EP Services Billed by Other practices During Index Hospitalization	2016 benchmark (national mean) cost per MSPB episode with Eligible Professional Services Billed by Other practices During Index Hospitalization, Acute Inpatient Services category	1108	Num	8	
CYWGTMN_SM_COST_ADJ_HSP_PB	Benchmark cost per MSPB episode with Other Physician or Supplier Part B Services Billed During Any Hospitalization	2016 benchmark (national mean) cost per MSPB episode with Other Physician or Supplier Part B Services Billed During Any Hospitalization, Acute Inpatient Services category	1109	Num	8	
CYWGTMN_SM_COST_ADJ_ER	Benchmark cost per MSPB episode with Emergency Services Not Included in a Hospital Admission	2016 benchmark (national mean) cost per MSPB episode with Emergency Services Not Included in a Hospital Admission	1110	Num	8	
CYWGTMN_SM_COST_ADJ_ER_VST	Benchmark cost per MSPB episode with Emergency EM Services	2016 benchmark (national mean) cost per MSPB episode with Emergency Evaluation  Management Services, Emergency Services Not Included in a Hospital Admission category	1111	Num	8	
CYWGTMN_SM_COST_ADJ_ER_PRC	Benchmark cost per MSPB episode with Procedures	2016 benchmark (national mean) cost per MSPB episode with Procedures, Emergency Services Not Included in a Hospital Admission category	1112	Num	8	
CYWGTMN_SM_COST_ADJ_ER_TST	Benchmark cost per MSPB episode with Laboratory, Pathology, and Other Tests	2016 benchmark (national mean) cost per MSPB episode with Laboratory, Pathology, and Other Tests, Emergency Services Not Included in a Hospital Admission category	1113	Num	8	
CYWGTMN_SM_COST_ADJ_ER_IMG	Benchmark cost per MSPB episode with Imaging Services	2016 benchmark (national mean) cost per MSPB episode with Imaging Services, Emergency Services Not Included in a Hospital Admission category	1114	Num	8	
CYWGTMN_SM_COST_ADJ_PAS	Benchmark cost per MSPB episode with Post-Acute Care	2016 benchmark (national mean) cost per MSPB episode with Post-Acute Care	1115	Num	8	
CYWGTMN_SM_COST_ADJ_HH	Benchmark cost per MSPB episode with Home Health	2016 benchmark (national mean) cost per MSPB episode with Home Health, Post-Acute Care category	1116	Num	8	
CYWGTMN_SM_COST_ADJ_SN	Benchmark cost per MSPB episode with Skilled Nursing Facility	2016 benchmark (national mean) cost per MSPB episode with Skilled Nursing Facility, Post-Acute Care category	1117	Num	8	
CYWGTMN_SM_COST_ADJ_REHAB	Benchmark cost per MSPB episode with Inpatient Rehabilitation or Long-Term Care Hospital	2016 benchmark (national mean) cost per MSPB episode with Inpatient Rehabilitation or Long-Term Care Hospital, Post-Acute Care category	1118	Num	8	
CYWGTMN_SM_COST_ADJ_HSPC	Benchmark cost per MSPB episode with Hospice	2016 benchmark (national mean) cost per MSPB episode with Hospice	1119	Num	8	
CYWGTMN_SM_COST_ADJ_ALLOTH	Benchmark cost per MSPB episode with All Other Services	2016 benchmark (national mean) cost per MSPB episode with All Other Services	1120	Num	8	
CYWGTMN_SM_COST_ADJ_AMB	Benchmark cost per MSPB episode with Ambulance Services	2016 benchmark (national mean) cost per MSPB episode with Ambulance Services, All Other Services category	1121	Num	8	
CYWGTMN_SM_COST_ADJ_CHMO_B	Benchmark cost per MSPB episode with Chemotherapy and Other Part B-Covered Drugs	2016 benchmark (national mean) cost per MSPB episode with Chemotherapy and Other Part B-Covered Drugs, All Other Services category	1122	Num	8	
CYWGTMN_SM_COST_ADJ_DLYSIS	Benchmark cost per MSPB episode with Dialysis	2016 benchmark (national mean) cost per MSPB episode with Dialysis, Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department) category	1123	Num	8	
CYWGTMN_SM_COST_ADJ_OTH	Benchmark cost per MSPB episode with All Other Services Not Otherwise Classified	2016 benchmark (national mean) cost per MSPB episode with All Other Services Not Otherwise Classified, All Other Services category	1124	Num	8	
CYDIFF_SM_COST_ADJ_ALL	Practice cost minus benchmark cost per MSPB episode with any service	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with any service	1125	Num	8	
CYDIFF_SM_COST_ADJ_OP	Practice cost minus benchmark cost per MSPB episode with Outpatient EM Services	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department)	1126	Num	8	
CYDIFF_SM_COST_ADJ_EM	Practice cost minus benchmark cost per MSPB episode with EM Services	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Evaluation and Management Services	1127	Num	8	
CYDIFF_SM_COST_ADJ_ANEST	Practice cost minus benchmark cost per MSPB episode with Major Procedures and Anesthesia	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Major Procedures and Anesthesia	1128	Num	8	
CYDIFF_SM_COST_ADJ_AMBMIN	Practice cost minus benchmark cost per MSPB episode with Ambulatory/Minor Procedures	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Ambulatory/Minor Procedures	1129	Num	8	
CYDIFF_SM_COST_ADJ_OP_THPY	Practice cost minus benchmark cost per MSPB episode with Physical, Occupational, or Speech and Language Pathology Therapy	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Physical, Occupational, or Speech and Language Pathology Therapy	1130	Num	8	
CYDIFF_SM_COST_ADJ_ANC	Practice cost minus benchmark cost per MSPB episode with Ancillary Services	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Ancillary Services	1131	Num	8	
CYDIFF_SM_COST_ADJ_ANC_TST	Practice cost minus benchmark cost per MSPB episode with Ancillary Laboratory, Pathology, and Other Tests	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Laboratory, Pathology, and Other Tests, Ancillary Services category	1132	Num	8	
CYDIFF_SM_COST_ADJ_ANC_IMG	Practice cost minus benchmark cost per MSPB episode with Ancillary Imaging Services	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Imaging Services, Ancillary Services category	1133	Num	8	
CYDIFF_SM_COST_ADJ_ANC_DME	Practice cost minus benchmark cost per MSPB episode with Durable Medical Equipment and Supplies	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Durable Medical Equipment and Supplies, Ancillary Services category	1134	Num	8	
CYDIFF_SM_COST_ADJ_IP	Practice cost minus benchmark cost per MSPB episode with Acute Inpatient Services	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Acute Inpatient Services	1135	Num	8	
CYDIFF_SM_COST_ADJ_IP_TRG	Practice cost minus benchmark cost per MSPB episode with Acute Inpatient Hospital: Index Admission	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Acute Inpatient Hospital: Index Admission, Acute Inpatient Services category	1136	Num	8	
CYDIFF_SM_COST_ADJ_IP_RD	Practice cost minus benchmark cost per MSPB episode with Acute Inpatient Hospital: Readmission	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Acute Inpatient Hospital: Readmission, Acute Inpatient Services category	1137	Num	8	
CYDIFF_SM_COST_ADJ_HSP_IGP	Practice cost minus benchmark cost per MSPB episode with EP Services Billed by Your practice During Index Hospitalization	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Eligible Professional Services Billed by Your practice During Index Hospitalization, Acute Inpatient Services category	1138	Num	8	
CYDIFF_SM_COST_ADJ_HSP_OGP	Practice cost minus benchmark cost per MSPB episode with EP Services Billed by Other practices During Index Hospitalization	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Eligible Professional Services Billed by Other practices During Index Hospitalization, Acute Inpatient Services category	1139	Num	8	
CYDIFF_SM_COST_ADJ_HSP_PB	Practice cost minus benchmark cost per MSPB episode with Other Physician or Supplier Part B Services Billed During Any Hospitalization	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Other Physician or Supplier Part B Services Billed During Any Hospitalization, Acute Inpatient Services category	1140	Num	8	
CYDIFF_SM_COST_ADJ_ER	Practice cost minus benchmark cost per MSPB episode with Emergency Services Not Included in a Hospital Admission	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Emergency Services Not Included in a Hospital Admission	1141	Num	8	
CYDIFF_SM_COST_ADJ_ER_VST	Practice cost minus benchmark cost per MSPB episode with Emergency EM Services	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Emergency Evaluation  Management Services, Emergency Services Not Included in a Hospital Admission category	1142	Num	8	
CYDIFF_SM_COST_ADJ_ER_PRC	Practice cost minus benchmark cost per MSPB episode with Emergency Procedures	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Procedures, Emergency Services Not Included in a Hospital Admission category	1143	Num	8	
CYDIFF_SM_COST_ADJ_ER_TST	Practice cost minus benchmark cost per MSPB episode with Emergency Laboratory, Pathology, and Other Tests	Practice cost minus 2016 benchmark (national mean) cost per MSPB episode with Laboratory, Pathology, and Other Tests, Emergency Services Not Included in a Hospital Admission category	1144	Num	8	
